JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 C3-K1 s14 C3-K2 s15 C3-K3 s16 C3-K4 s17 C4-K1 s18 C4-K2 s19 C4-K3 s20 C4-K4 s21 C5-K1 s22 C5-K2 s23 C5-K3 s24 C5-K4 s25 K1-K2 s26 K1-K3 s27 K1-K4 s28 K2-K3 s29 K2-K4 s30 K3-K4 s31
Aperture: 6, Filter: L, JD: geocentric
2459492.3080093 0.01760 0.00358 -0.36258 0.00502 0.17382 0.00441 0.00912 0.00457 -0.84207 0.00580 -0.58677 0.00482 -0.05038 0.00418 -0.21508 0.00435 -1.06627 0.00563 -0.38674 0.00500 0.14966 0.00438 -0.01504 0.00454 -0.86623 0.00578 -0.05420 0.00536 0.48220 0.00479 0.31749 0.00494 -0.53370 0.00609 0.36499 0.00596 0.90139 0.00545 0.73668 0.00558 -0.11450 0.00662 -0.84919 0.00463 -0.31280 0.00395 -0.47750 0.00413 -1.32869 0.00546 0.53640 0.00487 0.37169 0.00501 -0.47949 0.00616 -0.16470 0.00440 -1.01589 0.00567 -0.85119 0.00579
2459492.3087847 0.01871 0.00358 -0.36672 0.00503 0.17391 0.00441 0.01024 0.00457 -0.84128 0.00580 -0.59498 0.00483 -0.05435 0.00418 -0.21802 0.00435 -1.06954 0.00563 -0.39004 0.00501 0.15059 0.00439 -0.01308 0.00455 -0.86460 0.00578 -0.05862 0.00537 0.48202 0.00479 0.31834 0.00494 -0.53318 0.00610 0.36251 0.00597 0.90315 0.00546 0.73947 0.00559 -0.11205 0.00663 -0.85470 0.00463 -0.31406 0.00396 -0.47774 0.00413 -1.32926 0.00546 0.54064 0.00488 0.37696 0.00502 -0.47456 0.00616 -0.16368 0.00440 -1.01520 0.00567 -0.85152 0.00579
2459492.3095370 0.02049 0.00359 -0.35887 0.00503 0.17723 0.00442 0.01267 0.00458 -0.83672 0.00580 -0.58884 0.00482 -0.05274 0.00418 -0.21730 0.00435 -1.06669 0.00563 -0.37892 0.00501 0.15718 0.00440 -0.00738 0.00456 -0.85678 0.00579 -0.05828 0.00536 0.47782 0.00479 0.31327 0.00494 -0.53613 0.00609 0.36982 0.00597 0.90592 0.00546 0.74136 0.00559 -0.10803 0.00664 -0.84960 0.00463 -0.31350 0.00396 -0.47806 0.00414 -1.32745 0.00546 0.53610 0.00487 0.37154 0.00502 -0.47786 0.00616 -0.16456 0.00441 -1.01395 0.00567 -0.84940 0.00579
2459492.3103009 0.01888 0.00359 -0.36392 0.00505 0.17686 0.00443 0.00698 0.00459 -0.83739 0.00582 -0.59144 0.00484 -0.05065 0.00419 -0.22053 0.00437 -1.06490 0.00564 -0.38295 0.00503 0.15783 0.00441 -0.01205 0.00457 -0.85641 0.00580 -0.05851 0.00538 0.48227 0.00480 0.31239 0.00496 -0.53198 0.00611 0.35675 0.00597 0.89754 0.00546 0.72766 0.00559 -0.11671 0.00664 -0.85172 0.00465 -0.31094 0.00397 -0.48082 0.00415 -1.32519 0.00548 0.54078 0.00489 0.37090 0.00504 -0.47346 0.00618 -0.16988 0.00442 -1.01425 0.00568 -0.84437 0.00581
2459492.3110648 0.02386 0.00360 -0.36110 0.00505 0.17711 0.00444 0.00954 0.00460 -0.83794 0.00583 -0.59146 0.00485 -0.05325 0.00420 -0.22081 0.00437 -1.06829 0.00565 -0.38764 0.00503 0.15057 0.00441 -0.01700 0.00457 -0.86447 0.00581 -0.06300 0.00538 0.47521 0.00480 0.30764 0.00495 -0.53983 0.00611 0.36123 0.00598 0.89945 0.00547 0.73188 0.00560 -0.11560 0.00665 -0.85498 0.00465 -0.31676 0.00397 -0.48433 0.00415 -1.33181 0.00549 0.53821 0.00490 0.37064 0.00504 -0.47683 0.00619 -0.16757 0.00443 -1.01504 0.00569 -0.84747 0.00582
2459492.3118287 0.02169 0.00360 -0.36160 0.00506 0.17729 0.00444 0.01433 0.00460 -0.83304 0.00582 -0.59592 0.00485 -0.05703 0.00420 -0.21999 0.00437 -1.06736 0.00564 -0.38556 0.00504 0.15333 0.00441 -0.00963 0.00457 -0.85700 0.00580 -0.05870 0.00539 0.48018 0.00482 0.31722 0.00496 -0.53014 0.00612 0.36466 0.00599 0.90355 0.00548 0.74059 0.00561 -0.10678 0.00665 -0.85056 0.00466 -0.31167 0.00398 -0.47464 0.00415 -1.32200 0.00548 0.53889 0.00490 0.37592 0.00505 -0.47144 0.00618 -0.16296 0.00442 -1.01033 0.00569 -0.84736 0.00581
2459492.3125926 0.02130 0.00361 -0.36322 0.00507 0.17449 0.00445 0.01586 0.00460 -0.84477 0.00586 -0.59178 0.00486 -0.05407 0.00421 -0.21271 0.00437 -1.07334 0.00568 -0.38478 0.00505 0.15293 0.00443 -0.00570 0.00458 -0.86634 0.00584 -0.05712 0.00540 0.48059 0.00483 0.32196 0.00497 -0.53867 0.00615 0.36320 0.00601 0.90090 0.00550 0.74227 0.00562 -0.11836 0.00669 -0.85859 0.00466 -0.32089 0.00399 -0.47952 0.00415 -1.34015 0.00551 0.53771 0.00491 0.37907 0.00505 -0.48156 0.00622 -0.15863 0.00443 -1.01926 0.00573 -0.86063 0.00585
2459492.3133565 0.02197 0.00362 -0.35742 0.00508 0.18291 0.00446 0.01048 0.00463 -0.83595 0.00586 -0.59039 0.00487 -0.05006 0.00422 -0.22249 0.00439 -1.06892 0.00568 -0.38059 0.00506 0.15974 0.00443 -0.01269 0.00460 -0.85913 0.00584 -0.05569 0.00541 0.48464 0.00483 0.31221 0.00499 -0.53422 0.00615 0.36432 0.00602 0.90465 0.00550 0.73222 0.00564 -0.11421 0.00669 -0.84685 0.00468 -0.30652 0.00400 -0.47895 0.00419 -1.32539 0.00552 0.54033 0.00492 0.36790 0.00507 -0.47854 0.00622 -0.17243 0.00445 -1.01887 0.00572 -0.84644 0.00585
2459492.3148032 0.02079 0.00353 -0.36285 0.00495 0.17487 0.00435 0.00903 0.00451 -0.84297 0.00572 -0.59100 0.00475 -0.05327 0.00412 -0.21911 0.00429 -1.07111 0.00555 -0.38674 0.00493 0.15098 0.00432 -0.01486 0.00449 -0.86686 0.00570 -0.06548 0.00527 0.47225 0.00471 0.30640 0.00486 -0.54559 0.00600 0.35649 0.00586 0.89421 0.00536 0.72837 0.00549 -0.12363 0.00652 -0.84887 0.00456 -0.31114 0.00390 -0.47698 0.00408 -1.32898 0.00539 0.53773 0.00480 0.37189 0.00495 -0.48011 0.00607 -0.16584 0.00434 -1.01784 0.00559 -0.85200 0.00571
2459492.3155671 0.02168 0.00353 -0.36216 0.00496 0.17161 0.00435 0.01280 0.00450 -0.83952 0.00571 -0.59210 0.00475 -0.05833 0.00412 -0.21714 0.00428 -1.06946 0.00554 -0.38442 0.00494 0.14934 0.00433 -0.00946 0.00448 -0.86178 0.00569 -0.06515 0.00528 0.46861 0.00471 0.30981 0.00485 -0.54251 0.00599 0.35730 0.00587 0.89107 0.00536 0.73226 0.00549 -0.12006 0.00652 -0.85056 0.00457 -0.31680 0.00390 -0.47560 0.00407 -1.32792 0.00538 0.53377 0.00480 0.37496 0.00494 -0.47736 0.00607 -0.15881 0.00434 -1.01113 0.00558 -0.85232 0.00570
