JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 C3-K1 s11 C3-K2 s12 C3-K3 s13 K1-K2 s14 K1-K3 s15 K2-K3 s16
Aperture: 6, Filter: L, JD: geocentric
2459543.3317593 0.58776 0.00942 1.20037 0.00973 0.73792 0.01035 0.12888 0.01168 1.26531 0.00998 0.80286 0.01059 0.19382 0.01189 0.96826 0.00892 0.50581 0.00959 -0.10323 0.01102 0.01678 0.00673 -0.44567 0.00760 -1.05472 0.00933 -0.46245 0.00757 -1.07149 0.00931 -0.60904 0.00996
2459543.3325231 0.59890 0.00951 1.20495 0.00982 0.74610 0.01044 0.14610 0.01174 1.25108 0.00998 0.79223 0.01059 0.19223 0.01188 0.96731 0.00896 0.50846 0.00963 -0.09154 0.01103 0.01032 0.00674 -0.44853 0.00762 -1.04852 0.00933 -0.45885 0.00760 -1.05885 0.00931 -0.60000 0.00996
2459543.3332755 0.59542 0.00953 1.20955 0.00983 0.74144 0.01047 0.13525 0.01181 1.26221 0.01003 0.79410 0.01066 0.18791 0.01198 0.97382 0.00903 0.50572 0.00972 -0.10047 0.01115 0.01807 0.00677 -0.45003 0.00767 -1.05622 0.00942 -0.46810 0.00764 -1.07429 0.00939 -0.60619 0.01006
2459543.3340394 0.58561 0.00945 1.19667 0.00976 0.74219 0.01037 0.13427 0.01170 1.26074 0.01002 0.80626 0.01062 0.19835 0.01192 0.96813 0.00898 0.51365 0.00964 -0.09427 0.01106 0.01560 0.00676 -0.43888 0.00762 -1.04680 0.00935 -0.45449 0.00758 -1.06240 0.00932 -0.60791 0.00996
2459543.3348032 0.58466 0.00939 1.19140 0.00970 0.73610 0.01032 0.11805 0.01166 1.26344 0.00996 0.80814 0.01056 0.19009 0.01187 0.96122 0.00892 0.50592 0.00959 -0.11213 0.01102 0.01013 0.00671 -0.44516 0.00758 -1.06322 0.00932 -0.45530 0.00755 -1.07335 0.00930 -0.61805 0.00994
2459543.3355787 0.60479 0.00949 1.20866 0.00980 0.75784 0.01040 0.13951 0.01174 1.25200 0.01000 0.80118 0.01059 0.18285 0.01191 0.95895 0.00894 0.50813 0.00959 -0.11020 0.01103 0.00973 0.00674 -0.44110 0.00758 -1.05943 0.00933 -0.45082 0.00757 -1.06915 0.00932 -0.61833 0.00995
2459543.3363310 0.59464 0.00949 1.21625 0.00979 0.74858 0.01043 0.15404 0.01171 1.26059 0.00994 0.79292 0.01057 0.19838 0.01183 0.97065 0.00893 0.50298 0.00962 -0.09156 0.01100 0.03292 0.00675 -0.43474 0.00764 -1.02928 0.00931 -0.46767 0.00758 -1.06221 0.00927 -0.59454 0.00994
2459543.3370949 0.59774 0.00945 1.19294 0.00978 0.74381 0.01039 0.14442 0.01170 1.23943 0.00994 0.79031 0.01054 0.19092 0.01184 0.94604 0.00892 0.49692 0.00959 -0.10247 0.01100 0.00406 0.00676 -0.44507 0.00762 -1.04446 0.00933 -0.44913 0.00761 -1.04851 0.00932 -0.59939 0.00996
2459543.3378588 0.59520 0.00950 1.20815 0.00980 0.74685 0.01042 0.13936 0.01173 1.25843 0.01001 0.79714 0.01063 0.18965 0.01191 0.96491 0.00893 0.50361 0.00962 -0.10388 0.01102 0.02096 0.00674 -0.44034 0.00762 -1.04783 0.00933 -0.46130 0.00758 -1.06879 0.00930 -0.60749 0.00996
2459543.3386227 0.60066 0.00940 1.20507 0.00971 0.74895 0.01032 0.13285 0.01166 1.24310 0.00990 0.78699 0.01050 0.17088 0.01182 0.96883 0.00893 0.51272 0.00959 -0.10339 0.01102 0.00939 0.00669 -0.44672 0.00756 -1.06283 0.00930 -0.45611 0.00754 -1.07222 0.00928 -0.61610 0.00992
2459543.3393750 0.60177 0.00942 1.20515 0.00974 0.75146 0.01034 0.13337 0.01168 1.24961 0.00991 0.79591 0.01050 0.17782 0.01182 0.96227 0.00888 0.50858 0.00954 -0.10951 0.01098 0.00825 0.00670 -0.44545 0.00755 -1.06354 0.00930 -0.45369 0.00754 -1.07178 0.00929 -0.61809 0.00992
2459543.3401505 0.59600 0.00944 1.20681 0.00975 0.74698 0.01036 0.14158 0.01166 1.24946 0.00990 0.78963 0.01051 0.18423 0.01180 0.96640 0.00890 0.50658 0.00957 -0.09883 0.01097 0.01948 0.00671 -0.44035 0.00758 -1.04575 0.00928 -0.45982 0.00754 -1.06523 0.00925 -0.60540 0.00990
2459543.3409028 0.60307 0.00935 1.21303 0.00965 0.75165 0.01027 0.13840 0.01159 1.25430 0.00984 0.79293 0.01045 0.17968 0.01175 0.96207 0.00882 0.50069 0.00949 -0.11256 0.01091 0.01827 0.00667 -0.44310 0.00753 -1.05636 0.00925 -0.46137 0.00749 -1.07462 0.00922 -0.61325 0.00987
2459543.3416667 0.59911 0.00938 1.20929 0.00968 0.75419 0.01029 0.13882 0.01162 1.26680 0.00989 0.81170 0.01048 0.19633 0.01179 0.96415 0.00886 0.50905 0.00952 -0.10632 0.01095 0.01380 0.00667 -0.44130 0.00753 -1.05667 0.00926 -0.45510 0.00750 -1.07047 0.00924 -0.61537 0.00987
2459543.3424306 0.60813 0.00941 1.21633 0.00972 0.75952 0.01033 0.14494 0.01164 1.25384 0.00985 0.79703 0.01045 0.18245 0.01175 0.96538 0.00886 0.50857 0.00952 -0.10601 0.01094 0.01397 0.00666 -0.44284 0.00753 -1.05742 0.00925 -0.45681 0.00750 -1.07139 0.00923 -0.61458 0.00987
2459543.3431944 0.60453 0.00943 1.20831 0.00974 0.75340 0.01035 0.14389 0.01167 1.24897 0.00992 0.79406 0.01052 0.18455 0.01181 0.96226 0.00892 0.50736 0.00958 -0.10216 0.01098 0.00916 0.00671 -0.44575 0.00757 -1.05526 0.00929 -0.45491 0.00755 -1.06442 0.00927 -0.60951 0.00991
2459543.3439468 0.60612 0.00939 1.21415 0.00970 0.75213 0.01032 0.15607 0.01159 1.25657 0.00984 0.79454 0.01045 0.19849 0.01170 0.96030 0.00883 0.49827 0.00951 -0.09778 0.01087 0.01492 0.00667 -0.44710 0.00754 -1.04316 0.00920 -0.46202 0.00751 -1.05808 0.00918 -0.59606 0.00983
2459543.3447222 0.61084 0.00941 1.21634 0.00973 0.76122 0.01033 0.14459 0.01166 1.23940 0.00980 0.78428 0.01041 0.16765 0.01172 0.96647 0.00886 0.51136 0.00952 -0.10528 0.01095 0.01346 0.00668 -0.44166 0.00754 -1.05829 0.00927 -0.45511 0.00751 -1.07175 0.00925 -0.61664 0.00989
