JD,V-C,s1
2459543.4244560,0.46540,0.00899
2459543.4252083,0.45603,0.00896
2459543.4259722,0.46031,0.00893
2459543.4267245,0.46100,0.00889
2459543.4274884,0.45313,0.00886
2459543.4282407,0.46884,0.00893
2459543.4290046,0.46100,0.00889
2459543.4297685,0.47427,0.00893
2459543.4305324,0.47100,0.00890
2459543.4312963,0.47693,0.00887
2459543.4320486,0.47017,0.00884
2459543.4328125,0.47625,0.00884
2459543.4335764,0.45050,0.00880
2459543.4343403,0.46570,0.00887
2459543.4350926,0.46725,0.00882
2459543.4358565,0.46929,0.00890
2459543.4366204,0.47833,0.00892
2459543.4380556,0.46260,0.00881
2459543.4388194,0.46581,0.00881
2459543.4395718,0.46170,0.00880
2459543.4403356,0.46324,0.00883
2459543.4410880,0.47390,0.00890
2459543.4418519,0.47859,0.00889
2459543.4426157,0.46751,0.00887
2459543.4433681,0.47108,0.00885
2459543.4441435,0.47926,0.00893
2459543.4448958,0.47993,0.00895
2459543.4456597,0.47288,0.00896
2459543.4464236,0.48136,0.00899
2459543.4471875,0.47061,0.00891
2459543.4479514,0.47345,0.00892
2459543.4487269,0.47136,0.00892
2459543.4494792,0.47720,0.00895
2459543.4502431,0.49418,0.00905
2459543.4510185,0.47147,0.00896
2459543.4517708,0.48839,0.00905
2459543.4525347,0.48380,0.00905
2459543.4532986,0.49193,0.00909
2459543.4540509,0.48535,0.00900
2459543.4548148,0.49003,0.00906
2459543.4555903,0.49876,0.00903
2459543.4563426,0.49900,0.00902
2459543.4570949,0.49674,0.00905
2459543.4578588,0.49740,0.00900
2459543.4593056,0.49243,0.00899
2459543.4600694,0.49529,0.00904
2459543.4608333,0.50437,0.00906
2459543.4615856,0.50371,0.00906
2459543.4623495,0.49412,0.00901
2459543.4631019,0.49495,0.00899
2459543.4638657,0.51157,0.00911
2459543.4646296,0.50797,0.00911
2459543.4653935,0.50827,0.00908
2459543.4661574,0.51538,0.00902
2459543.4669213,0.50570,0.00905
2459543.4676852,0.51502,0.00906
2459543.4684491,0.51543,0.00910
2459543.4692014,0.52081,0.00908
2459543.4699653,0.50785,0.00900
2459543.4707292,0.52485,0.00912
